	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
99123	GUT_GENOME147164	PATRIC_657319_3	PATRIC/IMG	Isolate	2864137	139	38521	44.91	98.99	0.0		91.6	0.0	99.73	19	657319.3	GUT_GENOME147164	MGYG-HGUT-02530	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum		PRJNA39157			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02530/genomes3/GUT_GENOME147164.gff.gz
99126	GUT_GENOME147168	PATRIC_657324_3	PATRIC/IMG	Isolate	3116866	42	184373	38.47	97.33	0.0		0.0	0.0	0.0	20	657324.3	GUT_GENOME147168	MGYG-HGUT-02531	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio fibrisolvens	SAMEA3138350	PRJNA39147			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02531/genomes1/GUT_GENOME147168.gff.gz
99212	GUT_GENOME147522	PATRIC_673_10	PATRIC/IMG	Isolate	4096279	4	4053831	49.53	100.0	0.0		94.96	99.67	99.86	20	673.10	GUT_GENOME147522	MGYG-HGUT-02532	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Grimontia;s__Grimontia hollisae	SAMEA104281642	PRJEB6403			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02532/genomes1/GUT_GENOME147522.gff.gz
99213	GUT_GENOME147523	PATRIC_676_29	PATRIC/IMG	Isolate	4933066	108	222954	46.65	100.0	0.41		94.96	49.64	99.86	20	676.29	GUT_GENOME147523	MGYG-HGUT-02533	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus	SAMN04221178	PRJNA300397	Bangladesh	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02533/genomes1/GUT_GENOME147523.gff.gz
99214	GUT_GENOME147524	PATRIC_67824_3	PATRIC/IMG	Isolate	5715629	4	5130228	53.06	99.97	0.9		95.8	99.67	99.86	20	67824.3	GUT_GENOME147524	MGYG-HGUT-02534	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A farmeri	SAMN07452765	PRJNA397262	Australia	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02534/genomes1/GUT_GENOME147524.gff.gz
99215	GUT_GENOME147525	PATRIC_67827_10	PATRIC/IMG	Isolate	4885099	1	4885099	52.53	99.97	0.58		95.8	99.67	99.86	20	67827.10	GUT_GENOME147525	MGYG-HGUT-02535	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter werkmanii_A	SAMN07312408	PRJNA231221	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02535/genomes1/GUT_GENOME147525.gff.gz
99221	GUT_GENOME147542	PATRIC_703_26	PATRIC/IMG	Isolate	3653255	38	200484	51.92	99.62	0.56		95.8	99.67	99.86	20	703.26	GUT_GENOME147542	MGYG-HGUT-02536	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas shigelloides	SAMEA104338378	PRJEB6403			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02536/genomes1/GUT_GENOME147542.gff.gz
99226	GUT_GENOME147550	PATRIC_72000_27	PATRIC/IMG	Isolate	2636961	34	129311	70.83	98.68	0.0		94.96	99.67	99.62	20	72000.27	GUT_GENOME147550	MGYG-HGUT-02537	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila_B	SAMN08325509	PRJNA428934	India	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02537/genomes1/GUT_GENOME147550.gff.gz
99240	GUT_GENOME147598	PATRIC_72407_78	PATRIC/IMG	Isolate	5484149	4	5306618	57.3	100.0	0.02		95.8	99.67	99.86	20	72407.78	GUT_GENOME147598	MGYG-HGUT-02538	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	SAMN02820977	PRJNA251378	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02538/genomes1/GUT_GENOME147598.gff.gz
99243	GUT_GENOME147602	PATRIC_74426_49	PATRIC/IMG	Isolate	2306349	1	2306349	60.12	100.0	0.81		94.12	99.61	99.45	20	74426.49	GUT_GENOME147602	MGYG-HGUT-02539	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_A	SAMN07821249	PRJNA415274	India	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02539/genomes1/GUT_GENOME147602.gff.gz
99248	GUT_GENOME147612	PATRIC_762968_3	PATRIC/IMG	Isolate	4187245	112	187137	48.26	99.26	0.2		0.0	99.67	99.62	20	762968.3	GUT_GENOME147612	MGYG-HGUT-02540	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	SAMN00189150	PRJNA48501			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02540/genomes2/GUT_GENOME147612.gff.gz
99260	GUT_GENOME147629	PATRIC_797473_3	PATRIC/IMG	Isolate	2547857	198	26546	58.24	97.51	0.0		93.28	99.61	99.83	20	797473.3	GUT_GENOME147629	MGYG-HGUT-02541	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium valvarum	SAMN02299434	PRJNA49689			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02541/genomes1/GUT_GENOME147629.gff.gz
99261	GUT_GENOME147630	PATRIC_797515_3	PATRIC/IMG	Isolate	2852137	212	43192	45.6	98.94	1.46		0.0	0.0	89.23	18	797515.3	GUT_GENOME147630	MGYG-HGUT-02542	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G parafarraginis	SAMN02299435	PRJNA49691			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02542/genomes1/GUT_GENOME147630.gff.gz
99274	GUT_GENOME147644	PATRIC_827_3	PATRIC/IMG	Isolate	1665696	25	131279	29.02	98.65	0.07		0.0	99.74	92.48	20	827.3	GUT_GENOME147644	MGYG-HGUT-02543	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus	SAMN02673348	PRJNA240200	Ireland	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02543/genomes1/GUT_GENOME147644.gff.gz
99286	GUT_GENOME147673	PATRIC_84112_28	PATRIC/IMG	Isolate	3738151	63	153272	64.26	100.0	0.0		92.44	99.67	99.42	20	84112.28	GUT_GENOME147673	MGYG-HGUT-02544	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	SAMN08365961	PRJNA412637	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02544/genomes1/GUT_GENOME147673.gff.gz
99290	GUT_GENOME147678	PATRIC_853_273	PATRIC/IMG	Isolate	2833887	1	2833887	57.23	100.0	0.0		94.12	99.74	99.83	20	853.273	GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	SAMN08452073	PRJNA432550	Ireland	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes5/GUT_GENOME147678.gff.gz
99333	GUT_GENOME147776	PATRIC_905011_3	PATRIC/IMG	Isolate	3225304	348	136645	58.26	93.62	1.01		94.96	99.67	99.86	20	905011.3	GUT_GENOME147776	MGYG-HGUT-02546	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Neobitarella;s__Neobitarella massiliensis	SAMEA3545359	PRJEB10915	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02546/genomes1/GUT_GENOME147776.gff.gz
99334	GUT_GENOME147777	PATRIC_907_14	PATRIC/IMG	Isolate	2429032	26	137903	53.17	100.0	0.0		92.44	41.23	99.69	20	907.14	GUT_GENOME147777	MGYG-HGUT-02547	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	SAMN07503204	PRJNA398182	India	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02547/genomes1/GUT_GENOME147777.gff.gz
99341	GUT_GENOME147796	PATRIC_985002_151	PATRIC/IMG	Isolate	2783373	89	76927	32.36	99.37	0.44		67.23	99.74	99.76	20	985002.151	GUT_GENOME147796	MGYG-HGUT-02548	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	SAMN04604745	PRJNA317280	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02548/genomes1/GUT_GENOME147796.gff.gz
99346	GUT_GENOME147854	PATRIC_997873_3	PATRIC/IMG	Isolate	5479119	27	523984	42.83	99.3	0.08		94.96	99.67	99.45	20	997873.3	GUT_GENOME147854	MGYG-HGUT-02549	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	SAMN02463916	PRJNA64801	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02549/genomes1/GUT_GENOME147854.gff.gz
99575	GUT_GENOME148088	QinJ_2012__CON-015__bin.17	CIBIO	MAG	1590794	286	7578	40.06	84.5	2.01	0.32	0.0	0.0	0.0	14		GUT_GENOME148088	MGYG-HGUT-02550	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02550/genomes1/GUT_GENOME148088.gff.gz
99582	GUT_GENOME148095	QinJ_2012__CON-015__bin.38	CIBIO	MAG	1748237	182	15032	40.8	92.73	0.23	0.53	0.0	0.0	0.0	12		GUT_GENOME148095	MGYG-HGUT-02551	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A paraphrohaemolyticus			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02551/genomes1/GUT_GENOME148095.gff.gz
99927	GUT_GENOME148443	QinJ_2012__CON-038__bin.21	CIBIO	MAG	3071336	29	180072	36.77	99.33	0.0	0.11	0.0	0.0	0.0	19		GUT_GENOME148443	MGYG-HGUT-02552	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02552/genomes1/GUT_GENOME148443.gff.gz
99985	GUT_GENOME148502	QinJ_2012__CON-041__bin.39	CIBIO	MAG	1478585	264	7063	47.4	84.06	1.01	0.6	0.0	0.0	0.0	11		GUT_GENOME148502	MGYG-HGUT-02553	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02553/genomes1/GUT_GENOME148502.gff.gz
100122	GUT_GENOME148641	QinJ_2012__CON-051__bin.10	CIBIO	MAG	1500206	335	5312	42.13	79.28	2.83	0.61	0.0	0.0	0.0	6		GUT_GENOME148641	MGYG-HGUT-02554	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_AE			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02554/genomes1/GUT_GENOME148641.gff.gz
100295	GUT_GENOME148816	QinJ_2012__CON-061__bin.1	CIBIO	MAG	2144821	311	9600	53.69	89.8	1.9	0.65	0.0	0.0	0.0	19		GUT_GENOME148816	MGYG-HGUT-02555	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02555/genomes1/GUT_GENOME148816.gff.gz
100376	GUT_GENOME148897	QinJ_2012__CON-066__bin.34	CIBIO	MAG	2634532	29	131718	49.9	98.3	0.0	0.09	0.0	0.0	0.0	20		GUT_GENOME148897	MGYG-HGUT-02556	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02556/genomes3/GUT_GENOME148897.gff.gz
100394	GUT_GENOME148915	QinJ_2012__CON-067__bin.28	CIBIO	MAG	2163992	134	26310	59.88	99.19	1.16	0.1	0.0	0.0	0.0	18		GUT_GENOME148915	MGYG-HGUT-02557	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02557/genomes1/GUT_GENOME148915.gff.gz
100569	GUT_GENOME149090	QinJ_2012__CON-076__bin.70	CIBIO	MAG	3471678	195	38679	55.62	97.39	0.09	0.21	0.0	0.0	0.0	16		GUT_GENOME149090	MGYG-HGUT-02558	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02558/genomes1/GUT_GENOME149090.gff.gz
100595	GUT_GENOME149116	QinJ_2012__CON-077__bin.4	CIBIO	MAG	2652289	238	18682	32.31	94.11	0.0	0.41	0.0	0.0	5.64	15		GUT_GENOME149116	MGYG-HGUT-02559	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02559/genomes1/GUT_GENOME149116.gff.gz
100859	GUT_GENOME149380	QinJ_2012__CON-096__bin.13	CIBIO	MAG	5390440	68	143871	43.04	97.96	0.37	0.07	0.0	21.2	0.0	20		GUT_GENOME149380	MGYG-HGUT-02560	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02560/genomes1/GUT_GENOME149380.gff.gz
100860	GUT_GENOME149381	QinJ_2012__CON-096__bin.14	CIBIO	MAG	4554549	70	136206	47.19	84.83	0.65	0.32	0.0	0.0	0.0	19		GUT_GENOME149381	MGYG-HGUT-02561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02561/genomes1/GUT_GENOME149381.gff.gz
100923	GUT_GENOME149444	QinJ_2012__CON-099__bin.23	CIBIO	MAG	1679141	11	260436	49.91	100.0	0.63	0.03	0.0	0.0	0.0	20		GUT_GENOME149444	MGYG-HGUT-02562	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02562/genomes1/GUT_GENOME149444.gff.gz
100976	GUT_GENOME149497	QinJ_2012__CON-102__bin.13	CIBIO	MAG	2922672	182	28252	27.15	98.24	0.0	0.08	89.92	0.0	0.0	13		GUT_GENOME149497	MGYG-HGUT-02563	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02563/genomes1/GUT_GENOME149497.gff.gz
101053	GUT_GENOME149574	QinJ_2012__CON-108__bin.27	CIBIO	MAG	2497816	33	112999	53.71	96.9	0.0	0.03	0.0	99.67	0.0	20		GUT_GENOME149574	MGYG-HGUT-02564	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02564/genomes1/GUT_GENOME149574.gff.gz
101137	GUT_GENOME149706	QinJ_2012__DLF012__bin.16	CIBIO	MAG	1964232	202	13131	44.91	97.95	0.75	0.14	0.0	34.9	0.0	19		GUT_GENOME149706	MGYG-HGUT-02565	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A magna	SRS259508	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02565/genomes1/GUT_GENOME149706.gff.gz
101141	GUT_GENOME149712	QinJ_2012__DLF013__bin.11	CIBIO	MAG	2080428	226	13137	59.86	95.97	0.12	0.15	0.0	0.0	0.0	20		GUT_GENOME149712	MGYG-HGUT-02566	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SRS259509	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02566/genomes1/GUT_GENOME149712.gff.gz
101235	GUT_GENOME149894	QinJ_2012__DLM014__bin.15	CIBIO	MAG	2236504	74	42197	52.57	95.44	0.75	0.1	0.0	0.0	0.0	20		GUT_GENOME149894	MGYG-HGUT-02567	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	SRS259515	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02567/genomes1/GUT_GENOME149894.gff.gz
101330	GUT_GENOME150050	QinJ_2012__DLM027__bin.12	CIBIO	MAG	2891879	73	58157	41.57	97.78	0.0	0.07	0.0	0.0	0.0	19		GUT_GENOME150050	MGYG-HGUT-02568	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__	SRS259526	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02568/genomes1/GUT_GENOME150050.gff.gz
101469	GUT_GENOME150307	QinJ_2012__DOM015__bin.4	CIBIO	MAG	2142420	692	3302	28.85	78.44	0.34	0.23	94.96	0.0	0.0	10		GUT_GENOME150307	MGYG-HGUT-02569	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	SRS259537	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02569/genomes1/GUT_GENOME150307.gff.gz
101698	GUT_GENOME150720	QinJ_2012__NLM023__bin.12	CIBIO	MAG	2026568	116	26947	38.94	97.99	0.0	0.04	0.0	0.0	0.0	17		GUT_GENOME150720	MGYG-HGUT-02570	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	SRS259486	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02570/genomes3/GUT_GENOME150720.gff.gz
101729	GUT_GENOME150770	QinJ_2012__NLM026__bin.4	CIBIO	MAG	1451024	15	204313	31.71	80.28	0.7	0.12	89.08	0.0	0.0	19		GUT_GENOME150770	MGYG-HGUT-02571	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__UBA1234;g__;s__	SRS259555	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02571/genomes1/GUT_GENOME150770.gff.gz
101744	GUT_GENOME150801	QinJ_2012__NLM029__bin.1	CIBIO	MAG	1311921	110	17272	27.05	72.86	0.38	0.85	0.0	21.14	0.0	16		GUT_GENOME150801	MGYG-HGUT-02572	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__	SRS259558	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02572/genomes1/GUT_GENOME150801.gff.gz
101757	GUT_GENOME150819	QinJ_2012__NLM031__bin.15	CIBIO	MAG	2234911	102	40502	49.7	96.17	0.0	0.15	0.0	0.0	0.0	16		GUT_GENOME150819	MGYG-HGUT-02573	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	SRS259559	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02573/genomes1/GUT_GENOME150819.gff.gz
101882	GUT_GENOME151017	QinJ_2012__NOM004__bin.19	CIBIO	MAG	3729499	594	8144	30.47	98.88	2.25	0.28	83.19	0.0	33.71	15		GUT_GENOME151017	MGYG-HGUT-02574	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	SRS259497	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02574/genomes1/GUT_GENOME151017.gff.gz
102264	GUT_GENOME151520	QinJ_2012__T2D-017__bin.12	CIBIO	MAG	2444047	330	10118	45.42	79.61	2.73	0.38	0.0	17.61	0.0	14		GUT_GENOME151520	MGYG-HGUT-02575	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__	SRS294977	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02575/genomes1/GUT_GENOME151520.gff.gz
102277	GUT_GENOME151535	QinJ_2012__T2D-018__bin.16	CIBIO	MAG	2013227	280	9375	59.98	94.35	1.61	0.43	0.0	0.0	0.0	18		GUT_GENOME151535	MGYG-HGUT-02576	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02576/genomes1/GUT_GENOME151535.gff.gz
